Release Date,Book,Chapter Number,Chapter Name,Speaker,Dialogue,Addressee,Listener,About Character,Mentioned Character,Present
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"We should start back,",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,The wildlings are dead.,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Do the dead frighten you?,Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"Dead is dead,",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,We have no business with the dead.,Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Are they dead?,Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,What proof have we?,Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"Will saw them,",Waymar Royce,Will,Will,Will,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"If he says they are dead, that's proof enough for me.",Waymar Royce,Will,Will,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"My mother told me that dead men sing no songs,",Gared;Waymar Royce,,Unknown (Will's mother),,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"My wet nurse said the same thing, Will,",Will,Gared,Unknown (Waymar Royce's wet nurse),,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Never believe anything you hear at a woman's tit. There are things to be learned even from the dead.,Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"We have a long ride before us,",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"Eight days, maybe nine. And night is falling.",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"It does that every day about this time. Are you unmanned by the dark, Gared?",Gared,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"Bet he killed them all himself, he did,",Unknown,,Waymar Royce,,FALSE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"twisted their little heads off, our mighty warrior.",Unknown,,Waymar Royce,,FALSE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"Mormont said as we should track them, and we did,",Waymar Royce,Will,Jeor Mormont,Jeor Mormont,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Gared,"They're dead. They shan't trouble us no more. There's hard riding before us. I don't like this weather. If it snows, we could be a fortnight getting back, and snow's the best we can hope for. Ever seen an ice storm, my lord?",Waymar Royce,Will,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,"Tell me again what you saw, Will. All the details. Leave nothing out.",Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"The camp is two miles farther on, over that ridge, hard beside a stream,",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"I got close as I dared. There's eight of them, men and women both. No children I could see. They put up a lean-to against the rock. The snow's pretty well covered it now, but I could still make it out. No fire burning, but the firepit was still plain as day. No one moving. I watched a long time. No living man ever lay so still.",Waymar Royce,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Waymar Royce,Did you see any blood?,Will,Gared,,,TRUE
8/6/1996,A Game Of Thrones,0,Prologue,Will,"Well, no,",Waymar Royce,Gared,,,TRUE
